	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
hsa-miR-5002-3p	8.10512909688488	-2.763623992465	0.771082210819275	-3.58408474957378	0.000338262248098529	0.00914232546477107
hsa-miR-5197-3p	3.6891217504283	-1.9429176229258	0.555047281942967	-3.5004542606254	0.000464465937272295	0.0103052780398404
hsa-miR-582-3p	21.0381854777217	-2.99611747736659	1.01382629793537	-2.95525721069587	0.00312408478231542	0.0481393064184059
hsa-miR-6724-5p	13.3473106405752	-2.40220077404786	0.638406974761122	-3.7628047139471	0.000168018400379738	0.00632869308097012
hsa-miR-6752-3p	3.55966494647637	-3.42899785933923	0.897033353148604	-3.82259795280007	0.000132052994571727	0.00548243277354518
hsa-miR-6789-5p	3.62471902826991	-3.18691912001265	0.854937366022092	-3.72766385781096	0.000193262907257345	0.00689643426949894
hsa-miR-6847-3p	14.1380940292765	-3.56826044174273	0.641612074846783	-5.56139851731256	2.67621286399121e-08	6.04824107262014e-06
hsa-miR-7-1-3p	14.1673554092655	1.03763052224032	0.296752093890033	3.49662409669409	0.000471185279107745	0.0103052780398404
hsa-miR-7704	69.868536438709	-2.03793681169718	0.677597118275594	-3.00759368174926	0.00263324949185506	0.0425081703685174
hsa-miR-7846-3p	31.9626411339172	-2.18535580164697	0.559141626298016	-3.90841192796868	9.29048030085703e-05	0.00484534280306236
hsa-miR-8075	37.2183504763104	-1.58603957921377	0.531409209617549	-2.98459181833757	0.00283956964580674	0.0447727492989993
hsa-miR-92a-1-5p	18.2482614288087	1.5345159063809	0.431368939089155	3.5573166431989	0.000374662441004488	0.00914232546477107
hsa-miR-939-5p	220.637946268205	-1.61736091790861	0.443850430678561	-3.64393229366925	0.000268504079975468	0.00866884601063655
hsa-miR-9718	4.13851203298862	-4.4507139134403	0.873271198513202	-5.09659991193792	3.45808091188951e-07	4.68915771652217e-05
